季节;朝代;年;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;原姓名;民族;旗分;爵位;科举
夏;道光;四;1824;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;宗室;东明;1;;满洲;正白;;
春;光绪;十八;1892;1;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;宗室;丰烈;1;农烈;满洲;镶白;;
夏;同治;十一;1872;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;丰绅;2;;满洲;正白;;
冬;同治;十二;1873;4;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;丰绅;2;;满洲;正白;;
夏;同治;十三;1874;2;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
夏;光绪;元;1875;2;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
冬;光绪;二;1876;4;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
冬;光绪;三;1877;4;将军衙门;黑龙江将军;将军;镇守黑龙江等处将军;从一;;丰绅;7;;满洲;正白;;
秋;光绪;四;1878;3;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军;从一;;丰绅;7;;满洲;正白;;
冬;光绪;四;1878;4;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军;从一;;丰绅;7;;满洲;正白;;
秋;光绪;五;1879;3;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军;从一;;丰绅;7;;满洲;正白;;
秋;乾隆;五十;1785;3;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;乌兴阿;1;乌灵阿、乌兴阿;满洲;正红;;
春;道光;二十二;1842;1;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正红;;
夏;道光;二十五;1845;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;镶黄;;
夏;道光;二十八;1848;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
夏;道光;二十九;1849;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
夏;咸丰;一;1851;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
冬;咸丰;二;1852;4;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
夏;咸丰;三;1853;2;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
春;咸丰;四;1854;1;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;乌凌额;8;乌凌阿;满洲;正白;;
冬;光绪;二;1876;4;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;乌勒兴阿;2;;满洲;镶黄;;
冬;光绪;三;1877;4;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;乌勒兴阿;2;;满洲;镶黄;;
秋;同治;六;1867;3;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
春;同治;八;1869;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶红;;
春;同治;九;1870;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
春;同治;十;1871;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
夏;同治;十一;1872;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
冬;同治;十二;1873;4;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
夏;同治;十三;1874;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
夏;光绪;一;1875;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌勒兴阿;8;;满洲;镶黄;;
冬;嘉庆;二十一;1816;4;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统;从二;;乌勒德尼;3;乌尔德尼、乌尔德呢;满洲;正蓝;;
春;嘉庆;二十二;1817;1;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统;从二;;乌勒德尼;3;乌尔德尼、乌尔德呢;满洲;正蓝;;
冬;嘉庆;二十二;1817;4;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统;从二;;乌勒德尼;3;乌尔德尼、乌尔德呢;满洲;正白;;
秋;乾隆;三十八;1773;3;副都统;齐齐哈尔副都统;副都统;镇守黑龙江齐齐哈等处副都统;从二;;乌升额;2;倭陞额;满洲;镶黄;;
秋;乾隆;四十二;1777;3;副都统;齐齐哈尔副都统;副都统;镇守黑龙江齐齐哈尔等处副都统;从二;;乌升额;2;倭陞额;满洲;镶黄;;
冬;道光;十;1830;4;奉天府;奉天府府尹;府尹;奉天府府尹;正三;;乌尔和额;2;;满洲;镶黄;;
夏;道光;十三;1833;2;奉天府;奉天府府尹;府尹;奉天府府尹;正三;;乌尔和额;2;;满洲;镶黄;;
秋;道光;二十;1840;3;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌尔德善;4;;满洲;镶蓝;;
春;道光;二十二;1842;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌尔德善;4;;满洲;镶蓝;;
夏;道光;二十五;1845;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌尔德善;4;倭尔？善;满洲;正蓝;;
春;咸丰;四;1854;1;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;乌尔德善;4;;满洲;正蓝;;
夏;道光;十四;1834;2;奉天府;奉天府府尹;侍郎;盛京工部侍郎兼管奉天府尹事事务;正二;;乌尔恭额;1;;满洲;镶黄;;
夏;道光;十四;1834;2;盛京工部;盛京工部侍郎;侍郎;工部侍郎兼奉天府府尹事务;正二;;乌尔恭额;1;;满洲;镶黄;;
春;乾隆;五十三;1788;1;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统;从二;;乌灵阿;1;;满洲;正红;;
冬;嘉庆;二十一;1816;4;副都统;熊岳副都统;副都统;镇守熊岳等处副都统;从二;;乌登额;4;乌登勒;满洲;正红;;
春;嘉庆;二十二;1817;1;副都统;熊岳副都统;副都统;镇守熊岳等处副都统;从二;;乌登额;4;乌登勒;满洲;正红;;
冬;嘉庆;二十二;1817;4;副都统;熊岳副都统;副都统;镇守熊岳等处副都统;从二;;乌登额;4;乌登勒;满洲;正红;;
夏;嘉庆;二十五;1820;2;副都统;熊岳副都统;副都统;镇守熊岳等处副都统;从二;;乌登额;4;乌登勒;满洲;正红;;
秋;同治;六;1867;3;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;乌里布;2;乌林布;满洲;正白;;
春;同治;八;1869;1;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;乌里布;2;乌林布;满洲;正白;;
秋;乾隆;五十;1785;3;副都统;伯都讷副都统;副都统;镇守白都讷地方副都统;从二;;乌雅勒达;3;乌松尔达、乌雅尔达;满洲;正白;;
春;乾隆;五十一;1786;1;副都统;伯都讷副都统;副都统;镇守白都讷地方副都统;从二;;乌雅勒达;3;乌松尔达、乌雅尔达;满洲;正白;;
春;乾隆;五十三;1788;1;副都统;伯都讷副都统;副都统;镇守白都讷地方副都统;从二;;乌雅勒达;3;乌松尔达、乌雅尔达;满洲;正白;;
夏;道光;二十九;1849;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;觉罗;乐斌;2;;满洲;正黄;;
夏;咸丰;一;1851;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;觉罗;乐斌;2;;满洲;正黄;;
春;咸丰;六;1856;1;户部;奉天府府尹;侍郎;户部侍郎奉天府府尹事务;正二;;书元;2;;满洲;镶蓝;;
春;咸丰;六;1856;1;奉天府;奉天府府尹;侍郎;盛京户部侍郎兼管奉天府尹事事务;正二;;书元;2;;满洲;镶蓝;;
夏;咸丰;三;1853;2;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;;书元;1;;满洲;镶蓝;;生员
秋;嘉庆;三;1798;3;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;宗室;书敬;1;;满洲;镶红;;
冬;嘉庆;二十一;1816;4;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;;书明阿;5;书敏、书铭;满洲;镶蓝;;举人
春;嘉庆;二十二;1817;1;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;;书明阿;5;书敏、书铭;满洲;镶蓝;;
冬;嘉庆;二十二;1817;4;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;;书明阿;5;书敏、书铭;满洲;镶蓝;;举人
夏;嘉庆;二十五;1820;2;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;;书明阿;5;书敏、书铭;满洲;镶蓝;;举人
夏;道光;四;1824;2;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;;书明阿;5;书敏、书铭;满洲;镶蓝;;举人
冬;光绪;二十七;1901;4;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;云生;2;;满洲;正白;;
夏;光绪;二十八;1902;2;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;云生;2;;满洲;正白;;
春;嘉庆;十一;1806;1;奉天府;奉天府府尹;府尹;奉天府府尹;正三;;五诚额;1;;满洲;镶蓝;;
冬;咸丰;八;1858;4;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;什顺;3;;满洲;镶红;;
夏;咸丰;九;1859;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;什顺;3;;满洲;镶红;;
秋;咸丰;十;1860;3;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;什顺;3;;满洲;正黄;;
春;同治;九;1870;1;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;伊克唐阿;6;;满洲;正白;;
春;同治;十;1871;1;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;伊克唐阿;6;;满洲;正白;协领;
夏;同治;十一;1872;2;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;伊克唐阿;6;;满洲;正白;协领;
冬;同治;十二;1873;4;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;伊克唐阿;6;;满洲;镶黄;协领;
夏;同治;十三;1874;2;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;伊克唐阿;6;;满洲;镶黄;;
夏;光绪;一;1875;2;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;伊克唐阿;6;;满洲;镶黄;;
夏;道光;十九;1839;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
秋;道光;二十;1840;3;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
春;道光;二十二;1842;1;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
夏;道光;二十五;1845;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
夏;道光;二十八;1848;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
夏;道光;二十九;1849;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
夏;咸丰;一;1851;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
冬;咸丰;二;1852;4;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
春;咸丰;四;1854;1;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;伊勒东阿;9;;满洲;镶蓝;;
夏;道光;十六;1836;2;副都统;吉林副都统;副都统;镇守吉林等处地方副都统;从二;;伊勒东阿;1;;满洲;镶蓝;;
夏;道光;十三;1833;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;伊勒东阿;7;;满洲;镶蓝;;
夏;道光;十四;1834;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;伊勒东阿;7;;满洲;镶蓝;;
秋;道光;十六;1836;3;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;伊勒东阿;7;;满洲;镶蓝;;
冬;道光;十六;1836;4;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;伊勒东阿;7;;满洲;镶蓝;;
秋;道光;十七;1837;3;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;伊勒东阿;7;;满洲;镶蓝;;
夏;道光;十八;1838;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;伊勒东阿;7;;满洲;镶蓝;;
夏;道光;十九;1839;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;伊勒东阿;7;;满洲;正蓝;;
夏;道光;十四;1834;2;副都统;熊岳副都统;副都统;镇守熊岳等处副都统;从二;;伊拉清阿;1;;满洲;正白;;
春;道光;十四;1834;1;副都统;熊岳副都统;副都统;镇守熊岳等处副都统;从二;;伊清阿;1;;满洲;正白;;
春;嘉庆;十一;1806;1;副都统;伯都讷副都统;副都统;镇守白都讷地方副都统;从二;;伊铿额;1;尹鑑额;满洲;旗人;;
夏;道光;四;1824;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;伦图善;1;;满洲;正黄;;
秋;乾隆;四十二;1777;3;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;;伯兴;2;;满洲;镶白;;庶生
秋;乾隆;三十八;1773;3;盛京兵部;盛京兵部侍郎;侍郎;兵部侍郎;正二;;伯兴;2;;满洲;镶白;;荫生
春;嘉庆;元;1796;1;奉天府;奉天府府尹;侍郎;盛京户部侍郎奉天府府尹事务;正二;;伯麟;3;;满洲;正黄;;
冬;嘉庆;二;1797;4;奉天府;奉天府府尹;侍郎;盛京户部侍郎奉天府府尹事务;正二;;伯麟;3;;满洲;正黄;;
秋;嘉庆;三;1798;3;奉天府;奉天府府尹;侍郎;盛京户部侍郎奉天府府尹事务;正二;;伯麟;3;;满洲;正黄;;
春;嘉庆;元;1796;1;盛京户部;盛京户部侍郎;侍郎;户部侍郎;正二;;伯麟;2;;满洲;正黄;;
冬;嘉庆;二;1797;4;盛京户部;盛京户部侍郎;侍郎;户部侍郎;正二;;伯麟;2;;满洲;正黄;;
秋;乾隆;三十八;1773;3;副都统;伯都讷副都统;副都统;镇守白都讷地方副都统;从二;觉罗;佟福柱;1;佟福佳;满洲;正蓝;;
秋;咸丰;七;1857;3;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;;侍顺;1;;满洲;镶红;;
夏;光绪;二十二;1896;2;奉天府;奉天府府尹;将军;盛京将军奉天府府尹事务;从一;;依克唐阿;4;;满洲;镶黄;;
夏;光绪;二十三;1897;2;奉天府;奉天府府尹;将军;盛京将军奉天府府尹事务;从一;;依克唐阿;4;;满洲;镶黄;;
秋;光绪;二十四;1898;3;奉天府;奉天府府尹;将军;盛京将军奉天府府尹事务;从一;;依克唐阿;4;;满洲;镶黄;;
春;光绪;二十五;1899;1;奉天府;奉天府府尹;将军;盛京将军奉天府府尹事务;从一;;依克唐阿;4;;满洲;镶黄;;
冬;光绪;二;1876;4;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;依克唐阿;3;;满洲;镶黄;;
冬;光绪;三;1877;4;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;依克唐阿;3;;满洲;镶黄;;
冬;光绪;四;1878;4;副都统;黑龙江副都统;副都统;镇守黑龙江等处地方副都统;从二;;依克唐阿;3;;满洲;镶黄;;
夏;光绪;十五;1889;2;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军法什尚阿巴图鲁;从一;;依克唐阿;5;;满洲;镶黄;;
春;光绪;十六;1890;1;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军法什尚阿巴图鲁;从一;;依克唐阿;5;;满洲;镶黄;;
春;光绪;十八;1892;1;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军法什尚阿巴图鲁;从一;;依克唐阿;5;;满洲;镶黄;;
冬;光绪;十九;1893;4;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军法什尚阿巴图鲁;从一;;依克唐阿;5;;满洲;镶黄;;
夏;光绪;二十;1894;2;将军衙门;黑龙江将军;将军;镇守黑龙江等处地方将军法什尚阿巴图鲁;从一;;依克唐阿;5;;满洲;镶黄;;
冬;光绪;二十七;1901;4;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;侬英阿;6;;满洲;正红;;
夏;光绪;二十八;1902;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;侬英阿;6;;满洲;正红;;
春;光绪;二十九;1903;1;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;侬英阿;6;;满洲;正红;;
夏;光绪;三十;1904;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;侬英阿;6;;满洲;正红;;
夏;光绪;三十一;1905;2;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;侬英阿;6;;满洲;正红;;
春;光绪;三十二;1906;1;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;侬英阿;6;;满洲;正红;;
春;光绪;二十五;1899;1;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;保成;1;;满洲;正红;;
夏;道光;十三;1833;2;将军衙门;吉林将军;将军;镇守吉林乌喇等处将军;从一;;保昌;2;;满洲;正蓝;;荫生
夏;道光;十四;1834;2;将军衙门;吉林将军;将军;镇守吉林乌喇等处将军;从一;;保昌;2;;满洲;正蓝;;荫生
夏;道光;二十九;1849;2;将军衙门;吉林将军;将军;镇守吉林乌喇等处将军;从一;;倭什讷;1;;蒙古;正黄;;荫生
冬;咸丰;八;1858;4;户部;奉天府府尹;侍郎;户部侍郎奉天府府尹事务;正二;;倭仁;5;;蒙古;正红;;
冬;咸丰;八;1858;4;奉天府;奉天府府尹;侍郎;盛京户部侍郎兼管奉天府尹事事务;正二;;倭仁;5;;蒙古;正红;;
夏;咸丰;九;1859;2;户部;奉天府府尹;侍郎;户部侍郎奉天府府尹事务;正二;;倭仁;5;;蒙古;正红;;
夏;咸丰;九;1859;2;奉天府;奉天府府尹;侍郎;盛京户部侍郎兼管奉天府尹事事务;正二;;倭仁;5;;蒙古;正红;;
秋;咸丰;十;1860;3;户部;奉天府府尹;侍郎;户部侍郎奉天府府尹事务;正二;;倭仁;5;;蒙古;正红;;
秋;咸丰;七;1857;3;盛京礼部;盛京礼部侍郎;侍郎;礼部侍郎;正二;;倭仁;1;;蒙古;正红;;进士
夏;道光;二十五;1845;2;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;倭克精额;7;;汉军;正黄;;
夏;道光;二十八;1848;2;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;倭克精额;7;;汉军;正黄;;
夏;道光;二十九;1849;2;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;倭克精额;7;;汉军;正黄;;
夏;咸丰;一;1851;2;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;倭克精额;7;;汉军;正黄;;
冬;咸丰;二;1852;4;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;倭克精额;7;;汉军;正黄;;
夏;咸丰;三;1853;2;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;倭克精额;7;;汉军;正黄;;
春;咸丰;四;1854;1;副都统;伯都讷副都统;副都统;镇守伯都讷等处地方副都统;从二;;倭克精额;7;;汉军;正黄;;
秋;道光;二十;1840;3;副都统;阿勒楚喀副都统;副都统;镇守阿尔楚喀地方副都统;从二;;倭克精额;2;;满洲;镶白;;
春;道光;二十二;1842;1;副都统;阿勒楚喀副都统;副都统;镇守阿尔楚喀地方副都统;从二;;倭克精额;2;;满洲;正黄;;
春;道光;七;1827;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;倭楞泰;4;;满洲;镶黄;;
冬;道光;十;1830;4;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;倭楞泰;4;;满洲;镶黄;;
夏;道光;十三;1833;2;副都统;吉林副都统;副都统;镇守吉林等处地方副都统;从二;;倭楞泰;4;;满洲;镶黄;;
夏;道光;十四;1834;2;副都统;吉林副都统;副都统;镇守吉林等处地方副都统;从二;;倭楞泰;4;;满洲;镶黄;;
夏;道光;四;1824;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;倭楞泰;2;;满洲;镶黄;;
秋;道光;六;1826;3;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;倭楞泰;2;;满洲;镶黄;;
春;嘉庆;元;1796;1;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;;傅森;1;;满洲;镶黄;;
秋;乾隆;三十八;1773;3;将军衙门;吉林将军;将军;镇守宁古塔吉临乌拉等处将军;从一;宗室;傅椿;1;;满洲;镶红;;
秋;乾隆;四十二;1777;3;将军衙门;黑龙江将军;将军;镇守黑龙江齐齐哈尔等处将军;从一;;傅玉;3;;满洲;镶黄;;
秋;乾隆;三十八;1773;3;将军衙门;黑龙江将军;将军;镇守黑龙江齐齐哈等处将军;从一;;傅玉;3;;满洲;镶黄;;
秋;乾隆;三十八;1773;3;将军衙门;黑龙江将军;将军;镇守黑龙江齐齐哈等处将军;从一;;傅玉;3;;满洲;镶黄;;
秋;乾隆;五十;1785;3;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;僧保;2;;满洲;正红;;
春;乾隆;五十三;1788;1;副都统;墨尔根副都统;副都统;镇守墨尔根副都统;从二;;僧保;2;;满洲;正红;;
秋;乾隆;三十八;1773;3;副都统;熊岳副都统;副都统;镇守奉天熊岳等处副都统;从二;;僧保;2;;满洲;正白;;
秋;乾隆;四十二;1777;3;副都统;熊岳副都统;副都统;镇守熊岳等处副都统;从二;;僧保;2;;满洲;正白;;
春;嘉庆;一;1796;1;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;僧保;3;;满洲;正红;;
冬;嘉庆;二;1797;4;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;僧保;3;;满洲;正红;;
秋;嘉庆;三;1798;3;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;僧保;3;;满洲;正红;;
秋;乾隆;三十八;1773;3;副都统;齐齐哈尔副都统;副都统;镇守黑龙江齐齐哈等处副都统;从二;;僧保;1;;满洲;正黄;;
夏;光绪;三十;1904;2;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;;儒林;1;;满洲;镶蓝;;翻译进士
春;光绪;十六;1890;1;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;克什克图;1;;蒙古;正黄;;
夏;道光;二十八;1848;2;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统;从二;;克升额;2;克兴额、克升额;满洲;镶黄;;
夏;道光;二十九;1849;2;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统;从二;;克升额;2;克兴额、克升额;满洲;镶黄;;
秋;乾隆;四十二;1777;3;副都统;伯都讷副都统;副都统;镇守白都讷地方副都统;从二;;克星额;1;;满洲;正蓝;;
春;同治;五;1866;1;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;克蒙额;3;;满洲;正白;;
秋;同治;六;1867;3;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;克蒙额;3;;满洲;正黄;;
春;同治;八;1869;1;副都统;墨尔根副都统;副都统;镇守墨尔根城等处副都统;从二;;克蒙额;3;;满洲;正黄;;
夏;道光;十三;1833;2;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
夏;道光;十四;1834;2;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
夏;道光;十六;1836;2;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
秋;道光;十六;1836;3;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
冬;道光;十六;1836;4;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
秋;道光;十七;1837;3;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
夏;道光;十八;1838;2;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
夏;道光;十九;1839;2;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;正黄;;
秋;道光;二十;1840;3;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;全凌阿;9;;满洲;镶白;侍卫;
冬;光绪;二十七;1901;4;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;全福;2;;满洲;正蓝;;
夏;光绪;二十八;1902;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;全福;2;;满洲;正蓝;;
春;同治;八;1869;1;副都统;齐齐哈尔副都统;副都统;镇守齐齐哈尔等处副都统巴图降阿巴图曾;从二;;全英;1;;蒙古;正蓝;协领;
秋;乾隆;四十二;1777;3;盛京礼部;盛京礼部侍郎;侍郎;礼部侍郎;正二;;全魁;1;全魁穆齐;满洲;镶白;;
秋;咸丰;十;1860;3;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;关保;5;;满洲;正黄;;
夏;同治;四;1865;2;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;关保;5;;汉军;正黄;;
春;同治;五;1866;1;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;关保;5;;满洲;正黄;;
秋;同治;六;1867;3;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;关保;5;;汉军;正黄;;
春;同治;八;1869;1;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;关保;5;;汉军;正黄;;
冬;光绪;二;1876;4;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;兴恩;7;;满洲;正白;;进士
冬;光绪;三;1877;4;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;兴恩;7;;满洲;正白;;进士
秋;光绪;四;1878;3;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;兴恩;7;;满洲;正白;;进士
冬;光绪;四;1878;4;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;兴恩;7;;满洲;正白;;进士
秋;光绪;五;1879;3;盛京工部;盛京工部侍郎;侍郎;工部侍郎;正二;;兴恩;7;;满洲;正白;;进士
