姓名;数据库2时间;数据库3时间;时间差
沙赍;1677;1652;-25
图尔臣;1687;1655;-32
星安;1691;1859;168
傅德;1694;1752;-13
孙柱;1710;1751;41
长柱;1746;1700;-46
傅森;1791;1694;-100
龄椿;1819;1745;-76
海龄;1826;1739;-88
保昌;1827;1874;39
裕泰;1832;1817;-15
培成;1844;1903;54
培成;1849;1903;54
德裕;1910;1817;-93
达松阿;1740;1863;56
庆春;1865;1890;25
崇善;1885;1894;-6
武礼;1700;1766;66
白基;1713;1688;-25
王常;1730;1871;141
官褔;1778;1748;-30
玉衡;1803;1655;-244
苏清阿;1810;1838;3
玉英;1828;1823;-37
硕德;1831;1809;-22
文溥;1834;1823;-11
宝善;1856;1809;-55
春寿;1866;1840;-26
禄彭;1879;1883;-7
禄彭;1890;1883;-7
长生;1744;1706;-38
阿尔赛;1744;1697;-47
清葆;1746;1838;84
舒泰;1756;1883;123
舒通阿;1765;1801;27
伊铿额;1804;1835;27
依克唐阿;1869;1826;-69
寿庆;1907;1822;-85
奕澍;1885;1826;-59
朝铨;1772;1771;-1
德瑛;1798;1751;-119
龄椿;1821;1745;-76
裕泰;1832;1817;-15
裕禄;1889;1841;-48
依克唐阿;1895;1826;-69
铭通;1775;1814;39
岳起;1791;1865;74
西成;1797;1822;25
良贵;1802;1874;72
继善;1807;1745;-62
海龄;1815;1739;-88
瑞麟;1818;1826;8
庆林;1836;1841;-24
吉年;1842;1822;-20
文俊;1846;1895;36
德椿;1862;1819;-51
德椿;1870;1819;-51
恭镗;1871;1809;-79
松林;1879;1715;-180
裕长;1884;1889;-10
福裕;1894;1745;-149
松林;1895;1715;-180
玉恒;1899;1655;-244
嵩祝;1709;1737;28
伊礼布;1727;1801;74
武格;1728;1694;-34
清葆;1754;1838;84
赛冲阿;1818;1652;-166
松筠;1819;1709;-114
松菻;1820;1715;-180
禧恩;1842;1883;41
禧恩;1842;1883;41
裕禄;1889;1841;-48
依克唐阿;1895;1826;-69
裕长;1899;1889;-10
崇善;1900;1894;-6
喀尔喀;1649;1691;42
巴海;1659;1691;-59
巴海;1662;1691;-59
巴海;1662;1691;-59
佟保;1679;1718;36
扬福;1700;1808;99
傅森;1751;1694;-100
傅森;1756;1694;-100
富椿;1770;1829;-25
宝琳;1794;1874;80
赛冲阿;1809;1652;-166
松菻;1817;1715;-180
松菻;1822;1715;-180
松筠;1823;1709;-114
保昌;1833;1874;39
苏清阿;1835;1838;3
保昌;1835;1874;39
恩华;1853;1903;50
徳英;1865;1751;-119
富明阿;1866;1823;-43
希元;1883;1877;-6
扬福;1709;1808;99
傅森;1743;1694;-100
清葆;1754;1838;84
傅玉;1768;1745;-149
傅玉;1772;1745;-149
松菻;1822;1715;-180
禄成;1822;1737;-85
玉英;1860;1823;-37
保昌;1835;1874;39
宝善;1864;1809;-55
富明阿;1866;1823;-43
徳英;1867;1751;-119
徳英;1870;1751;-119
希元;1879;1877;-6
恭镗;1886;1809;-79
恭镗;1888;1809;-79
依克唐阿;1889;1826;-69
图尔臣;1679;1655;-32
薄海;1695;1712;17
富鼐;1726;1724;-2
官保;1734;1751;-108
富德;1747;1752;-13
勤克;1754;1670;-84
珠山;1688;1682;-6
单璧;1700;1876;176
武格;1727;1694;-34
永宁;1763;1809;46
玉鼎柱;1787;1745;-42
德瑛;1792;1751;-119
宝源;1797;1898;101
继善;1801;1745;-62
文俊;1857;1895;36
双福;1859;1868;-12
庆春;1865;1890;25
傅绅;1702;1811;109
杨柱;1720;1664;-56
富德;1765;1752;-13
佛保;1693;1799;106
瓦尔达;1713;1700;-13
武格;1725;1694;-34
钟音;1748;1736;-12
傅森;1752;1694;-100
朝铨;1760;1771;-1
傅森;1794;1694;-100
德瑛;1797;1751;-119
继善;1802;1745;-62
瑞麟;1818;1826;8
海龄;1821;1739;-88
海龄;1824;1739;-88
海龄;1827;1739;-88
裕泰;1831;1817;-15
毓书;1848;1829;-19
文俊;1859;1895;36
辛泰;1665;1751;86
佟宝;1682;1718;36
杨福;1698;1808;99
徐昌;1713;1664;-57
长生;1730;1706;-38
哲库纳;1735;1652;-102
巴海;1750;1691;-59
成林;1801;1814;13
富祥;1818;1754;-64
安福;1825;1745;-80
国祥;1832;1859;25
阔普通武;1834;1886;52
宝山;1859;1809;-55
宝山;1861;1809;-55
宝善;1863;1809;-55
庆春;1864;1890;25
庆春;1865;1890;25
济禄;1885;1805;-80
讷钦;1900;1877;-23
德裕;1910;1817;-93
普庆;1757;1823;66
富珠哩;1763;1748;-36
永安;1766;1752;-14
